fid,ID,ETIQUETA,ANGLE
1,AAJsUQAAFAAAj6EAAA,42-40,238.87
2,AAJsUQAAFAAAj6EAAB,44,238.82
3,AAJsUQAAFAAAj6EAAC,46,238.82
4,AAJsUQAAFAAAj6EAAD,48,238.8
5,AAJsUQAAFAAAj6EAAE,527,44.18
6,AAJsUQAAFAAAj6EAAF,12,237.52
7,AAJsUQAAFAAAj6EAAG,523,44.410000000000004
8,AAJsUQAAFAAAj6EAAH,10,237.4
9,AAJsUQAAFAAAj6EAAI,521,44.34
10,AAJsUQAAFAAAj6EAAJ,519,44.11
11,AAJsUQAAFAAAj6EAAK,6,238.57
12,AAJsUQAAFAAAj6EAAL,517,43.88
13,AAJsUQAAFAAAj6EAAM,515,44.58
14,AAJsUQAAFAAAj6EAAN,2,237.84
15,AAJsUQAAFAAAj6EAAO,224,345.76
16,AAJsUQAAFAAAj6EAAP,14,238.35
17,AAJsUQAAFAAAj6EAAQ,26-16,239.23000000000002
18,AAJsUQAAFAAAj6EAAR,195-201,135.26
19,AAJsUQAAFAAAj6EAAS,464-458,225.07
20,AAJsUQAAFAAAj6EAAT,242-238,314.22
21,AAJsUQAAFAAAj6EAAU,236-230,314.17
22,AAJsUQAAFAAAj6EAAV,470-466,224.37
23,AAJsUQAAFAAAj6EAAW,472,224.38
24,AAJsUQAAFAAAj6EAAX,474,224.35
25,AAJsUQAAFAAAj6EAAY,205-207,134.31
26,AAJsUQAAFAAAj6EAAZ,29,58.54
27,AAJsUQAAFAAAj6EAAa,203,134.36
28,AAJsUQAAFAAAj6EAAb,27,58.620000000000005
29,AAJsUQAAFAAAj6EAAc,25,58.58
30,AAJsUQAAFAAAj6EAAd,23,58.46
31,AAJsUQAAFAAAj6EAAe,21,58.45
32,AAJsUQAAFAAAj6EAAf,17-19,58.45
33,AAJsUQAAFAAAj6EAAg,15,58.6
34,AAJsUQAAFAAAj6EAAh,11-13,58.47
35,AAJsUQAAFAAAj6EAAi,13.B,7.71
36,AAJsUQAAFAAAj6EAAj,228-226,314.31
37,AAJsUQAAFAAAj6EAAk,456-436,224.94
38,AAJsUQAAFAAAj6EAAl,223-229,134.13
39,AAJsUQAAFAAAj6EAAm,217-219,134.9
40,AAJsUQAAFAAAj6EAAn,9,58.33
41,AAJsUQAAFAAAj6EAAo,213-215,135.01
42,AAJsUQAAFAAAj6EAAp,7,57.89
43,AAJsUQAAFAAAj6EAAq,212.X,314.37
44,AAJsUQAAFAAAj6EAAr,528.X-520.X,224.44
45,AAJsUQAAFAAAj6EAAs,308.X,17.63
46,AAJsUQAAFAAAj6EAAt,222.X,302.63
47,AAJsUQAAFAAAj6EAAu,538,224.51
48,AAJsUQAAFAAAj6EAAv,13,134.52
49,AAJsUQAAFAAAj6EAAw,11,134.57
50,AAJsUQAAFAAAj6EAAx,9,134.52
51,AAJsUQAAFAAAj6EAAy,7,134.57
52,AAJsUQAAFAAAj6EAAz,5,134.52
53,AAJsUQAAFAAAj6EAA0,1,134.49
